 Sr.No , Type , Speciality , SKU Code , Short Specification , Detailed Specification , Unit Of Manufracturng , Units , Portfolio , Brand , Sub Brand , Section 
821, Suture ,NCV,PGN30 2437,Polyglactin 910  Violet 3-0 X 70-20MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  3-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
822, Suture ,NCV,PGN30 2471,Polyglactin 910  Violet 3-0 X 45-16MM 3/8 Circle Cutting ,POLYGLACTIN 910  VIOLET  3-0 X 45-16MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
823, Suture ,NCV,PGN30 2472,Polyglactin 910  Violet 3-0 X 90-22MM 1/2 Circle Cutting ,POLYGLACTIN 910  VIOLET  3-0 X 90-22MM 1/2 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
824, Suture ,Plastic,PGN30 2495,Polyglactin 910  Violet 3-0 X 45-12MM 3/8 Circle Reverse Cutting ,POLYGLACTIN 910  VIOLET  3-0 X 45-12MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
825, Suture ,NCV,PGN30 2515,Polyglactin 910  Violet 3-0 X 45-17MM 1/2 Circle Taper Cut ,POLYGLACTIN 910  VIOLET  3-0 X 45-17MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
826, Suture ,NCV,PGN30 2516,Polyglactin 910  Violet 3-0 X 90-36MM 1/2 Circle Taper Cut ,POLYGLACTIN 910  VIOLET  3-0 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
827, Suture ,NCV,PGN30 322,Polyglactin 910  Violet 3-0 X 70-36MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  3-0 X 70-36MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
828, Suture ,NCV,PGN30 683U,Polyglactin 910  Undyed  3-0 X 45-24MM 3/8 Circle Reverse Cutting ,POLYGLACTIN 910  UNDYED  3-0 X 45-24MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
829, Suture ,NCV,PGN30 936U,Polyglactin 910  Undyed  3-0 X 70-24MM 3/8 Circle Reverse Cutting ,POLYGLACTIN 910  UNDYED  3-0 X 70-24MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
830, Suture ,NCV,PGN30 9402VB,Polyglactin 910  Violet 3-0 X 90-24MM 3/8 Circle Taper Cut V-Black Needle ,POLYGLACTIN 910  VIOLET  3-0 X 90-24MM 3/8 CIRCLE TAPERCUT VB,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
831, Suture ,NCV,PGN302328UNE,NE-Polyglactin 910  Undyed  3-0 X 90-25MM 3/8 Circle Cutting ,POLYGLACTIN 910  UNDYED  3-0 X 90-25MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section N
832, Suture ,NCV,PGN302437NE,NE-Polyglactin 910  Violet 3-0 X 70-20MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  3-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section N
833, Suture ,NCV,PGN302472NE,NE-Polyglactin 910  Violet 3-0 X 90-22MM 1/2 Circle Cutting ,POLYGLACTIN 910  VIOLET  3-0 X 90-22MM 1/2 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section N
834, Suture ,NCV,PGN40 2304,Polyglactin 910  Violet 4-0 X 70-20MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  4-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
835, Suture ,NCV,PGN40 2305,Polyglactin 910  Violet 4-0 X 70-16MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  4-0 X 70-16MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
836, Suture ,Tender Specific,PGN40 2306,Polyglactin 910  Violet 4-0 X 90-20MM 3/8 Circle Round Body ,POLYGLACTIN 910  VIOLET  4-0 X 90-20MM 3/8 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
837, Suture ,NCV,PGN40 2354DN,Polyglactin 910  Violet 4-0 X 90-16MM 3/8 Circle Cutting 1/2 Circle round body Double  Needle ,POLYGLACTIN 910  VIOLET  4-0 X 90-16MM CUCT HCRB DOUBLE NEEDLE ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
838, Suture ,NCV,PGN40 2388,Polyglactin 910  Violet 4-0 X 90-45MM Straight Cutting ,POLYGLACTIN 910  VIOLET  4-0 X 90-45MM STRAIGHT CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
839, Suture ,NCV,PGN40 2443U,Polyglactin 910  Undyed  4-0 X 70-16MM 3/8 Circle Cutting ,POLYGLACTIN 910  UNDYED  4-0 X 70-16MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
840, Suture ,Plastic,PGN40 2465,Polyglactin 910  Violet 4-0 X 45-16MM 5/8 Circle Cutting ,POLYGLACTIN 910  VIOLET  4-0 X 45-16MM FE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
841, Suture ,NCV,PGN40 2494,Polyglactin 910  Violet 4-0 X 45-12MM 3/8 Circle Reverse Cutting ,POLYGLACTIN 910  VIOLET  4-0 X 45-12MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
842, Suture ,Plastic,PGN40 2573,Polyglactin 910  Violet 4-0 X 70-19MM Straight Round Body ,POLYGLACTIN 910  VIOLET  4-0 X 70-19MM STRAIGHT ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
843, Suture ,Plastic,PGN40 9106,Polyglactin 910  Violet 4-0 X 75-17MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  4-0 X 75-17MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
844, Suture ,NCV,PGN402304NE,NE-Polyglactin 910  Violet 4-0 X 70-20MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  4-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section N
845, Suture ,Plastic,PGN402465i,Polyglactin 910  Violet 4-0 X 45-16MM 5/8 Circle Cutting  elixir easy glide needle,POLYGLACTIN 910  VIOLET  4-0 X 45-16MM FE CUTTING  I,DZ, 12 , P-1 ,Mitsu,Mitsu,Section K
846, Suture ,NCV,PGN50 2303,Polyglactin 910  Violet 5-0 X 45-16MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  5-0 X 45-16MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
847, Suture ,Plastic,PGN50 2395,Polyglactin 910  Violet 5-0 X 70-10MM 3/8 Circle Round Body ,POLYGLACTIN 910  VIOLET  5-0 X 70-10MM 3/8 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
848, Suture ,Plastic,PGN50 2403,Polyglactin 910  Violet 5-0 X 45-16MM 1/2 Circle Round Body ,POLYGLACTIN 910  VIOLET  5-0 X 45-16MM 1/2 CIRCLE ROUND BODY  C1,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
849, Suture ,Plastic,PGN50 2442,Polyglactin 910  Violet 5-0 X 45-16MM 3/8 Circle Cutting ,POLYGLACTIN 910  VIOLET  5-0 X 45-16MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
850, Suture ,NCV,PGN50 2464U,Polyglactin 910  Undyed  5-0 X 45-16MM Compound Curve Reverse Cutting ,POLYGLACTIN 910  UNDYED  5-0 X 45-16MM CC REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
851, Suture ,NCV,PGN50 2493,Polyglactin 910  Violet 5-0 X 45-12MM 3/8 Circle Reverse Cutting ,POLYGLACTIN 910  VIOLET  5-0 X 45-12MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
852, Suture ,Plastic,PGN50 2872U,Polyglactin 910  Undyed  5-0 X 45-13MM 3/8 Circle Reverse Cutting ,POLYGLACTIN 910  UNDYED  5-0 X 45-13MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
853, Suture ,NCV,PGN50 511,Polyglactin 910  Violet 5-0 X 45-10MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  VIOLET  5-0 X 45-10MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
854, Suture ,Plastic,PGN502403i,Polyglactin 910  Violet 5-0 X 45-16MM 1/2 Circle Round Body elixir easy glide needle,POLYGLACTIN 910  VIOLET  5-0 X 45-16MM 1/2 CIRCLE ROUND BODY  C1 I,DZ, 12 , P-1 ,Mitsu,Mitsu,Section K
855, Suture ,Plastic,PGN502442i,Polyglactin 910  Violet 5-0 X 45-16MM 3/8 Circle cutting with elixir flash point needle,POLYGLACTIN 910  VIOLET  5-0 X 45-16MM 3/8 CIRCLE PCT I,DZ, 12 , P-1 ,Mitsu,Mitsu,Section K
856, Suture ,Opthal,PGN60 2670DN,Polyglactin 910  Violet 6-0 X 45-8MM 1/4 Circle Spatula Point  Double  Needle ,POLYGLACTIN 910  VIOLET  6-0 X 45-8MM QC SM DOUBLE NEEDLE ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section E
857, Suture ,NCV,PGN60 2671,Polyglactin 910  Violet 6-0 X 45-12MM 3/8 Circle Reverse Cutting ,POLYGLACTIN 910  VIOLET  6-0 X 45-12MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
858, Suture ,Plastic,PGN60 2831U,Polyglactin 910  Undyed  6-0 X 45-13MM 3/8 Circle Cutting ,POLYGLACTIN 910  UNDYED  6-0 X 45-13MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
859, Suture ,NCV,PGN60 9172,Polyglactin 910  Violet 6-0 X 30-10MM 5/8 Circle Taper Cut ,POLYGLACTIN 910  VIOLET  6-0 X 30-10MM FE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
860, Suture ,NCV,PGN60 9552DN,Polyglactin 910  Violet 6-0 X 45-08MM 1/4 Circle Spatula Point  Double  Needle ,POLYGLACTIN 910  VIOLET  6-0 X 45-08MM QC SM DOUBLE NEEDLE ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
861, Suture ,NCV,PGN60 9575,Polyglactin 910  Violet 6-0 X 30-9.3MM 3/8 Circle Round Body ,POLYGLACTIN 910  VIOLET  6-0 X 30-9.3MM 3/8 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
862, Suture ,Plastic,PGN602670DNi,Polyglactin 910  Violet 6-0 X 45-8MM 1/4 Circle Spatulated Point elixir Double  Needle,POLYGLACTIN 910  VIOLET  6-0 X 45-8MM QC SM DOUBLE NEEDLE  I,DZ, 12 , P-1 ,Mitsu,Mitsu,Section K
863, Suture ,NCV,PGN70 2561,Polyglactin 910  Violet 7-0 X 30-06MM 3/8 Circle Spatula Point ,POLYGLACTIN 910  VIOLET  7-0 X 30-06MM 3/8 CIRCLE SM,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
864, Suture ,NCV,PGN70 9561DN,Polyglactin 910  Violet 7-0 X 30-6.5MM 3/8 Circle Spatula Point  Double  Needle ,POLYGLACTIN 910  VIOLET  7-0 X 30-6.5MM 3/8 CIRCLE SM DOUBLE NEEDLE ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
865, Suture ,Plastic,PGN80 2301,Polyglactin 910  Violet 8-0 X 30-08MM 3/8 Circle Round Body ,POLYGLACTIN 910  VIOLET  8-0 X 30-08MM 3/8 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section D
866, Suture ,Opthal,PGN80 2348DN,Polyglactin 910  Violet 8-0 X 30-6MM 3/8 Circle Spatula Point  Double  Needle ,POLYGLACTIN 910  VIOLET  8-0 X 30-6MM 3/8 CIRCLE SM DOUBLE NEEDLE ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section E
867, Suture ,NCV,PGN80 9560DN,Polyglactin 910  Violet 8-0 X 30-6.5MM 3/8 Circle Spatula Point  Double  Needle ,POLYGLACTIN 910  VIOLET  8-0 X 30-6.5MM 3/8 CIRCLE SM DOUBLE NEEDLE ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
868, Suture ,NCV,PGN80 9577,Polyglactin 910  Violet 8-0 X 30-9MM 3/8 Circle Round Body ,POLYGLACTIN 910  VIOLET  8-0 X 30-9MM 3/8 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
869, Suture ,Plastic,PGN802348DNi,Polyglactin 910  Violet 8-0 X 30-6MM 3/8 Circle Spatula Point elixir Double  Needle,POLYGLACTIN 910  VIOLET  8-0 X 30-6MM 3/8 CIRCLE SM DOUBLE NEEDLE  I,DZ, 12 , P-1 ,Mitsu,Mitsu,Section K
870, Suture ,NCV,PGNS10 2601,Polyglactin 910  Violet 0 X 135 (45X3),POLYGLACTIN 910  VIOLET  0 X 135 (45X3),DZ, 12 , P-1 ,Mitsu,Mitsu Non Needled,Section A
871, Suture ,NCV,PGNS20 2602,Polyglactin 910  Violet 2-0 X 135 (45X3),POLYGLACTIN 910  VIOLET  2-0 X 135 (45X3),DZ, 12 , P-1 ,Mitsu,Mitsu Non Needled,Section A
872, Suture ,NCV,PGNS20 2605,Polyglactin 910  Violet 2-0 X 225 (75X3),POLYGLACTIN 910  VIOLET  2-0 X 225 (75X3),DZ, 12 , P-1 ,Mitsu,Mitsu,Section A
873, Suture ,NCV,PGNS30 2603,Polyglactin 910  Violet 3-0 X 135 (45X3),POLYGLACTIN 910  VIOLET  3-0 X 135 (45X3),DZ, 12 , P-1 ,Mitsu,Mitsu Non Needled,Section A
874, Suture ,NCV,PGNS40 2604,Polyglactin 910  Violet 4-0 X 135 (45X3),POLYGLACTIN 910  VIOLET  4-0 X 135 (45X3),DZ, 12 , P-1 ,Mitsu,Mitsu Non Needled,Section A
875, Suture ,NCV,PGP01 2347,Polyglactin 910  C PLUS Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910  C PLUS VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  TN,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
876, Suture ,NCV,PGP01 2350,Polyglactin 910  C PLUS Violet 1 X 120-36MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS VIOLET  1 X 120-36MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
877, Suture ,NCV,PGP01 2359,Polyglactin 910  C PLUS Violet 1 X 70-40MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS VIOLET  1 X 70-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
878, Suture ,NCV,PGP01 2360,Polyglactin 910  C PLUS Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910  C PLUS VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  TH,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
879, Suture ,NCV,PGP01 2421,Polyglactin 910  C PLUS Violet 1 X 90-40MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  C PLUS VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
880, Suture ,NCV,PGP01 2519,Polyglactin 910  C PLUS Violet 1 X 90-40MM 1/2 Circle Taper Cut ,POLYGLACTIN 910  C PLUS VIOLET  1 X 90-40MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
881, Suture ,NCV,PGP01 2826,Polyglactin 910  C PLUS Violet 1 X 35-23MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  C PLUS VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
882, Suture ,NCV,PGP01 2826XL,Polyglactin 910  C PLUS Violet 1 X 70-23MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  C PLUS VIOLET  1 X 70-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
883, Suture ,NCV,PGP02 2478,Polyglactin 910  C PLUS Violet 2 X 90-40MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  C PLUS VIOLET  2 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
884, Suture ,NCV,PGP10 2338,Polyglactin 910  C PLUS Violet 0 X 90-30MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS VIOLET  0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
885, Suture ,NCV,PGP10 2346,Polyglactin 910  C PLUS Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910  C PLUS VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  TN,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
886, Suture ,NCV,PGP10 2358,Polyglactin 910  C PLUS Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910  C PLUS VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  TH,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
887, Suture ,NCV,PGP10 2517,Polyglactin 910  C PLUS Violet 0 X 90-36MM 1/2 Circle Taper Cut ,POLYGLACTIN 910  C PLUS VIOLET  0 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
888, Suture ,NCV,PGP10 2518,Polyglactin 910  C PLUS Violet 0 X 90-40MM 1/2 Circle Taper Cut ,POLYGLACTIN 910  C PLUS VIOLET  0 X 90-40MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
889, Suture ,NCV,PGP10 2534,Polyglactin 910  C PLUS Violet 0 X 90-36MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  C PLUS VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
890, Suture ,NCV,PGP10 946U,Polyglactin 910  C PLUS Undyed  0 X 90-36MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS UNDYED  0 X 90-36MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
891, Suture ,NCV,PGP20 2317,Polyglactin 910  C PLUS Violet 2-0 X 90-30MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS VIOLET  2-0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
892, Suture ,NCV,PGP20 2357,Polyglactin 910  C PLUS Violet 2-0 X 90-40MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS VIOLET  2-0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
893, Suture ,NCV,PGP20 2382,Polyglactin 910  C PLUS Violet 2-0 X 90-40MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  C PLUS VIOLET  2-0 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
894, Suture ,NCV,PGP20 2404U,Polyglactin 910  C PLUS Undyed  2-0 X 90-26MM 3/8 Circle Cutting ,POLYGLACTIN 910  C PLUS UNDYED  2-0 X 90-26MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
895, Suture ,NCV,PGP20 945U,Polyglactin 910  C PLUS Undyed  2-0 X 90-36MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS UNDYED  2-0 X 90-36MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
896, Suture ,NCV,PGP30 2328U,Polyglactin 910  C PLUS Undyed  3-0 X 90-25MM 3/8 Circle Cutting ,POLYGLACTIN 910  C PLUS UNDYED  3-0 X 90-25MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
897, Suture ,NCV,PGP30 2437,Polyglactin 910  C PLUS Violet 3-0 X 70-20MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS VIOLET  3-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
898, Suture ,NCV,PGP30 2472,Polyglactin 910  C PLUS Violet 3-0 X 90-22MM 1/2 Circle Cutting ,POLYGLACTIN 910  C PLUS VIOLET  3-0 X 90-22MM 1/2 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
899, Suture ,NCV,PGP30 2516,Polyglactin 910  C PLUS Violet 3-0 X 90-36MM 1/2 Circle Taper Cut ,POLYGLACTIN 910  C PLUS VIOLET  3-0 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
900, Suture ,NCV,PGP30 936U,Polyglactin 910  C PLUS Undyed  3-0 X 70-24MM 3/8 Circle Cutting ,POLYGLACTIN 910  C PLUS UNDYED  3-0 X 70-24MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
901, Suture ,NCV,PGP40 2304,Polyglactin 910  C PLUS Violet 4-0 X 70-20MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS VIOLET  4-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
902, Suture ,NCV,PGP50 2303,Polyglactin 910  C PLUS Violet 5-0 X 45-16MM 1/2 Circle Round Body ,POLYGLACTIN 910  C PLUS VIOLET  5-0 X 45-16MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu C+,Section A
903, Suture ,NCV,PGT01 2319,IH-Polyglactin 910  With triclosan Violet 1 X 90-36MM 1/2 Circle Taper Cut ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
904, Suture ,NCV,PGT01 2347,IH-Polyglactin 910  With triclosan Violet 1 X 90-40MM 1/2 Circle Round Body ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
905, Suture ,NCV,PGT01 2347DNL,IH-Polyglactin 910  With triclosan Violet 1X180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1X180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE ,BOX, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
906, Suture ,NCV,PGT01 2350,IH-Polyglactin 910  With triclosan Violet 1 X 120-36MM 1/2 Circle Round Body ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 120-36MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
907, Suture ,NCV,PGT01 2351,IH-Polyglactin 910  With triclosan Violet 1 X 120-40MM 1/2 Circle Round Body ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 120-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
908, Suture ,NCV,PGT01 2359,IH-Polyglactin 910  With triclosan Violet 1 X 70-40MM 1/2 Circle Round Body ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 70-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
909, Suture ,NCV,PGT01 2360,IH-Polyglactin 910  With triclosan Violet 1 X 90-40MM 1/2 Circle Round Body ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
910, Suture ,NCV,PGT01 2421,IH-Polyglactin 910  With triclosan Violet 1 X 90-40MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
911, Suture ,NCV,PGT01 2421DS,IH-Polyglactin 910  With triclosan Violet 1 X 120-40MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 120-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
912, Suture ,NCV,PGT01 2421SL,IH-Polyglactin 910  With triclosan Violet 1 X 45-40MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 45-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
913, Suture ,NCV,PGT01 2519,IH-Polyglactin 910  With triclosan Violet 1 X 90-40MM 1/2 Circle Taper Cut ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 90-40MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
914, Suture ,NCV,PGT01 2826,IH-Polyglactin 910  With triclosan Violet 1 X 35-23MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
915, Suture ,NCV,PGT01 2826XL,IH-Polyglactin 910  With triclosan Violet 1 X 70-23MM 1/2 Circle Reverse Cutting ,POLYGLACTIN 910  WITH TRICLOSAN VIOLET  1 X 70-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section A
916, Suture ,CV,PGT01 947U,IH-Polyglactin 910  With triclosan Undyed  1 X 90-36MM 1/2 Circle Round Body ,POLYGLACTIN 910  WITH TRICLOSAN UNDYED  1 X 90-36MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Mitsu,Mitsu Ab,Section C
